,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,season
0,Arsenal,2,38.0,51,7,1,3,1,53.5,0.26,3.5,0.09,159,478,33.3,1093,227,29.2,31.7,280.0,56.8,45.5,489.0,16.0,3.3,48.0,1.26,12.9,2018_19
1,Bournemouth,3,38.0,70,5,2,6,3,55.2,0.3,-11.8,-0.31,191,512,37.3,744,203,40.9,36.6,318.0,65.4,48.7,596.0,28.0,4.7,30.0,0.79,14.3,2018_19
2,Brighton,2,38.0,60,10,1,5,0,55.9,0.28,-4.1,-0.11,328,822,39.9,776,109,62.8,42.7,358.0,93.6,59.4,561.0,20.0,3.6,13.0,0.34,11.6,2018_19
3,Burnley,2,38.0,68,2,2,8,4,58.0,0.28,-6.0,-0.16,381,957,39.8,848,95,74.6,48.2,353.0,91.8,63.0,643.0,14.0,2.2,43.0,1.13,16.4,2018_19
4,Cardiff City,1,38.0,69,4,1,12,0,68.2,0.3,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319.0,99.4,65.6,536.0,15.0,2.8,46.0,1.21,15.4,2018_19
5,Chelsea,2,38.0,39,1,0,6,0,36.8,0.28,-2.2,-0.06,123,250,49.2,950,165,15.9,25.9,272.0,36.4,37.1,395.0,16.0,4.1,35.0,0.92,18.1,2018_19
6,Crystal Palace,3,38.0,53,4,1,7,1,46.7,0.26,-5.3,-0.14,245,769,31.9,793,159,58.6,43.6,347.0,87.6,60.4,635.0,27.0,4.3,25.0,0.66,13.6,2018_19
7,Everton,1,38.0,46,2,2,9,2,45.3,0.3,1.3,0.03,253,724,34.9,979,152,54.0,42.3,291.0,67.0,53.7,431.0,14.0,3.2,40.0,1.05,17.3,2018_19
8,Fulham,3,38.0,81,5,1,10,2,72.4,0.3,-6.6,-0.17,332,777,42.7,834,137,57.7,37.3,356.0,83.1,54.8,629.0,9.0,1.4,42.0,1.11,16.0,2018_19
9,Huddersfield,3,38.0,76,7,3,7,1,61.1,0.29,-13.9,-0.37,339,815,41.6,1062,109,55.9,40.7,281.0,78.6,56.0,426.0,30.0,7.0,34.0,0.89,13.3,2018_19
10,Leicester City,1,38.0,48,5,0,4,0,40.0,0.26,-8.0,-0.21,282,639,44.1,935,127,44.3,37.7,310.0,72.6,52.3,534.0,12.0,2.2,25.0,0.66,12.5,2018_19
11,Liverpool,1,38.0,22,0,0,5,0,27.2,0.29,5.2,0.14,129,311,41.5,1072,212,20.1,28.8,216.0,44.0,41.3,385.0,16.0,4.2,59.0,1.55,16.6,2018_19
12,Manchester City,1,38.0,23,4,1,5,0,23.3,0.25,0.3,0.01,98,239,41.0,919,188,17.1,26.8,189.0,43.4,42.9,282.0,19.0,6.7,41.0,1.08,16.9,2018_19
13,Manchester Utd,1,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332.0,78.9,54.6,524.0,9.0,1.7,25.0,0.66,13.4,2018_19
14,Newcastle Utd,1,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323.0,84.8,57.9,651.0,43.0,6.6,33.0,0.87,12.0,2018_19
15,Southampton,3,38.0,65,2,0,6,3,54.0,0.3,-8.0,-0.21,213,714,29.8,709,103,65.6,42.8,287.0,86.8,58.8,546.0,20.0,3.7,29.0,0.76,11.6,2018_19
16,Tottenham,3,38.0,39,3,1,7,3,47.7,0.28,11.7,0.31,183,464,39.4,1089,191,28.8,24.7,288.0,52.1,43.1,514.0,16.0,3.1,40.0,1.05,15.4,2018_19
17,Watford,1,38.0,59,4,2,6,3,55.5,0.3,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308.0,91.9,63.2,575.0,31.0,5.4,72.0,1.89,16.9,2018_19
18,West Ham,1,38.0,55,4,0,10,1,62.7,0.31,8.7,0.23,306,825,37.1,917,155,59.0,43.0,309.0,91.9,61.3,554.0,29.0,5.2,16.0,0.42,12.1,2018_19
19,Wolves,3,38.0,46,3,1,6,4,39.4,0.26,-2.6,-0.07,218,552,39.5,593,105,52.4,39.1,291.0,82.8,50.5,508.0,15.0,3.0,18.0,0.47,12.1,2018_19
20,Arsenal,2,38.0,48,7,0,9,0,51.8,0.23,3.8,0.1,92,364,25.3,964,233,24.8,27.9,314.0,39.8,35.5,606.0,25.0,4.1,42.0,1.11,15.6,2019_20
21,Aston Villa,4,38.0,67,5,1,9,1,51.6,0.25,-14.4,-0.38,240,665,36.1,862,179,50.1,40.0,343.0,67.9,49.4,628.0,23.0,3.7,28.0,0.74,9.9,2019_20
22,Bournemouth,2,38.0,65,5,4,4,0,62.6,0.3,-2.4,-0.06,185,616,30.0,866,190,47.5,29.2,295.0,69.5,53.2,603.0,20.0,3.3,26.0,0.68,13.3,2019_20
23,Brighton,1,38.0,54,2,0,7,2,50.2,0.29,-1.8,-0.05,207,412,50.2,1201,255,25.3,29.0,274.0,39.4,33.4,526.0,20.0,3.8,26.0,0.68,13.7,2019_20
24,Burnley,1,38.0,50,4,0,7,1,45.7,0.25,-3.3,-0.09,263,870,30.2,883,180,67.6,47.1,304.0,89.8,63.7,623.0,52.0,8.3,48.0,1.26,14.9,2019_20
25,Chelsea,2,38.0,54,2,2,9,3,37.5,0.31,-13.5,-0.36,102,302,33.8,1028,168,22.0,31.4,226.0,33.6,32.7,389.0,21.0,5.4,38.0,1.0,16.0,2019_20
26,Crystal Palace,2,38.0,50,0,1,5,2,55.7,0.34,7.7,0.2,237,710,33.4,848,180,53.4,48.9,313.0,82.1,57.4,651.0,23.0,3.5,27.0,0.71,13.2,2019_20
27,Everton,1,38.0,56,3,3,5,3,50.2,0.32,-2.8,-0.07,270,730,37.0,1104,195,51.3,40.1,275.0,59.6,46.8,510.0,24.0,4.7,25.0,0.66,13.4,2019_20
