,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,season
0,Arsenal,28,38.0,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,2018_19
1,Bournemouth,28,38.0,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,2018_19
2,Brighton,21,38.0,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,2018_19
3,Burnley,23,38.0,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,2018_19
4,Cardiff City,25,38.0,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,2018_19
5,Chelsea,24,38.0,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,2018_19
6,Crystal Palace,26,38.0,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,2018_19
7,Everton,23,38.0,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,2018_19
8,Fulham,28,38.0,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,2018_19
9,Huddersfield,31,38.0,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,2018_19
10,Leicester City,25,38.0,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,2018_19
11,Liverpool,23,38.0,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,2018_19
12,Manchester City,21,38.0,518,327,214,215,89,193,467,41.3,274,319,63,256,362,880,570,15,2018_19
13,Manchester Utd,28,38.0,581,347,280,239,62,240,544,44.1,304,445,128,317,355,936,847,26,2018_19
14,Newcastle Utd,24,38.0,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16,2018_19
15,Southampton,30,38.0,698,428,335,283,80,277,646,42.9,369,533,153,380,549,1247,1128,18,2018_19
16,Tottenham,28,38.0,627,373,310,237,80,268,577,46.4,309,415,112,303,325,952,823,20,2018_19
17,Watford,25,38.0,656,391,350,243,63,257,622,41.3,365,404,120,284,428,1084,1022,18,2018_19
18,West Ham,26,38.0,723,393,385,279,59,295,697,42.3,402,488,142,346,457,1180,926,16,2018_19
19,Wolves,21,38.0,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,2018_19
20,Arsenal,29,38.0,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,2019_20
21,Aston Villa,28,38.0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,2019_20
22,Bournemouth,27,38.0,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,2019_20
23,Brighton,25,38.0,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,2019_20
24,Burnley,22,38.0,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,2019_20
25,Chelsea,27,38.0,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,2019_20
26,Crystal Palace,25,38.0,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,2019_20
27,Everton,24,38.0,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,2019_20
28,Leicester City,24,38.0,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,2019_20
29,Liverpool,24,38.0,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,2019_20
30,Manchester City,24,38.0,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,2019_20
31,Manchester Utd,29,38.0,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,2019_20
32,Newcastle Utd,28,38.0,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,2019_20
33,Norwich City,30,38.0,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,2019_20
34,Sheffield Utd,26,38.0,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,2019_20
35,Southampton,25,38.0,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,2019_20
36,Tottenham,29,38.0,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,2019_20
37,Watford,26,38.0,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4,2019_20
38,West Ham,29,38.0,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,2019_20
39,Wolves,21,38.0,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,2019_20
40,Arsenal,29,38.0,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,2020_21
41,Aston Villa,24,38.0,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,2020_21
42,Brighton,27,38.0,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,2020_21
43,Burnley,25,38.0,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,2020_21
