,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05,0.9,0.7,Matches
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4,Matches
4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3,Matches
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,1.5,1.9,Matches
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,0,3,0,0.0,1.94,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,2,25,7,28.0,0.90,0.25,0.08,0.29,10.3,0,0,0,3.0,3.0,0.12,-1.0,-1.0,Matches
9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,0,10,2,20.0,1.04,0.21,0.00,0.00,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2,16,4,25.0,0.49,0.12,0.13,0.50,12.6,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13,0,0,2.8,2.8,0.06,1.2,1.2,Matches
12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,8,41,18,43.9,2.00,0.88,0.17,0.39,14.9,0,1,1,8.1,7.3,0.18,-0.1,-0.3,Matches
14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0,0,0,6.7,6.7,0.12,-2.7,-2.7,Matches
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,4,30,8,26.7,1.89,0.50,0.13,0.50,16.5,1,0,0,2.6,2.6,0.09,1.4,1.4,Matches
16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,0,13,3,23.1,0.98,0.23,0.00,0.00,18.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,0,6,1,16.7,0.71,0.12,0.00,0.00,17.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,17.1,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches
19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,1,1,1,100.0,1.23,1.23,1.00,1.00,7.8,0,0,0,0.4,0.4,0.36,0.6,0.6,Matches
20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,0,5,0,0.0,1.06,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,1,0,0.0,4.50,0.00,0.00,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
22,Michail Antonio,jm JAM,FW,West Ham,29,1990,19.6,10,67,30,44.8,3.41,1.53,0.13,0.30,13.7,0,1,1,12.9,12.1,0.19,-2.9,-3.1,Matches
23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0,0,0,2.8,2.8,0.06,2.2,2.2,Matches
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,27,1992,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,22,91,40,44.0,2.61,1.15,0.22,0.50,15.5,2,2,2,14.7,13.2,0.14,7.3,6.8,Matches
27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1,13,4,30.8,0.43,0.13,0.08,0.25,19.1,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35.0,9,58,24,41.4,1.66,0.69,0.16,0.38,14.8,0,0,0,7.5,7.5,0.13,1.5,1.5,Matches
29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,13.8,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,0,1,0,0.0,0.22,0.00,0.00,,31.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,1,10,4,40.0,0.76,0.31,0.10,0.25,8.9,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38.0,2,13,4,30.8,0.34,0.11,0.15,0.50,16.9,0,0,0,0.6,0.6,0.05,1.4,1.4,Matches
34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21.0,0,11,4,36.4,0.52,0.19,0.00,0.00,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,22.4,5,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
