Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,38,38,"3,420",38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0
Aston Villa,2,38,38,"3,420",38.0,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7
Bournemouth,2,38,38,"3,420",38.0,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0
Brentford,1,38,38,"3,420",38.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0
Brighton,2,38,38,"3,420",38.0,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0
Chelsea,2,38,38,"3,420",38.0,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0
Crystal Palace,3,38,38,"3,420",38.0,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0
Everton,2,38,38,"3,420",38.0,57,1.50,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7
Fulham,2,38,38,"3,420",38.0,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5
Leeds United,2,38,38,"3,420",38.0,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0
Leicester City,2,38,38,"3,420",38.0,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0
Liverpool,2,38,38,"3,420",38.0,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3
Manchester City,2,38,38,"3,420",38.0,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0
Manchester Utd,1,38,38,"3,420",38.0,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3
Newcastle Utd,2,38,38,"3,418",38.0,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0
Nott'ham Forest,3,38,38,"3,420",38.0,68,1.79,182,112,65.9,9,11,18,8,21.1,9,6,2,1,25.0
Southampton,2,38,38,"3,420",38.0,73,1.92,150,81,52.7,6,7,25,4,10.5,3,2,1,0,33.3
Tottenham,2,38,38,"3,420",38.0,63,1.66,172,109,65.1,18,6,14,10,26.3,4,3,1,0,25.0
West Ham,2,38,38,"3,420",38.0,55,1.45,170,115,70.0,11,7,20,9,23.7,6,4,1,1,20.0
Wolves,2,38,38,"3,420",38.0,58,1.53,174,115,67.8,11,8,19,11,28.9,4,2,2,0,50.0
